asn,rank,asnDegree_total,asnDegree_customer,asnDegree_peer,asnDegree_provider,cone_numberAsns,cone_numberPrefixes,cone_numberAddresses
3356,1,6613,6545,68,0,53986,873410,3468642119
1299,2,2567,2509,58,0,41193,776707,3219679484
174,3,6723,6626,97,0,38887,730166,3034352967
3257,4,1853,1816,37,0,36040,612491,2791999209
2914,5,1541,1483,58,0,25179,576134,2918763154
6939,6,9671,2182,7486,3,21482,378633,713491905
6453,7,625,572,53,0,21188,508372,1121504929
6461,8,2751,2307,444,0,18791,353446,496103059
6762,9,697,636,61,0,18256,410567,2681177273
9002,10,2217,1144,1072,1,11627,192991,2323381518
3491,11,722,618,104,0,11530,320201,2475343408
5511,12,379,329,50,0,7910,212405,2423246848
1273,13,297,159,136,2,6559,115261,167763804
12956,14,276,221,54,1,6375,154139,424258927
4637,15,682,394,279,9,5147,185261,497603138
12389,16,1247,1155,84,8,4872,79178,87885452
7473,17,305,175,125,5,4650,181706,240410653
13786,18,654,182,467,5,4170,53402,37033309
22356,19,2328,50,2271,7,4070,56490,54875296
3320,20,697,617,80,0,3982,113153,2332822414
9498,21,1233,972,252,9,3836,119397,262384098
7195,22,1682,213,1464,5,3812,65482,38240303
3216,23,2079,857,1212,10,3375,51670,43008571
37468,24,3039,175,2856,8,3154,48492,34219559
20485,25,1779,683,1090,6,3124,50738,48403834
16735,26,701,566,132,3,3085,37372,17160197
31133,27,786,597,185,4,2877,38284,39403730
20764,28,1940,271,1664,5,2732,42322,30846411
52320,29,1984,78,1898,8,2718,41608,34824684
6830,30,257,116,141,0,2682,64951,2192406186
7018,31,2337,2300,37,0,2678,78624,470072757
58453,32,693,126,558,9,2662,104443,133038488
701,33,1286,1245,41,0,2481,148336,809407914
4755,34,786,761,23,2,2477,94773,327795456
10429,35,315,298,15,2,2447,32783,34416790
33891,36,2198,222,1972,4,2184,41870,2179999766
7922,37,179,105,72,2,2068,48479,124216929
15412,38,386,47,332,7,1994,148770,533598561
52468,39,810,743,47,20,1988,36754,30923346
9121,40,559,286,269,4,1966,62833,2180273331
