ASN,domains
16509,139276485
13335,63477595
52925,32915972
396982,24543491
47846,17833760
8560,12948791
14618,11743932
47583,11238055
53831,10027799
16276,8935080
58182,8644957
22612,8013246
174,7375574
24940,6901772
15169,4816715
46606,4661899
6724,4616559
40034,4211556
63949,4153413
45102,4095816
20940,3849287
209242,3815115
19871,3331448
197695,3322072
35916,3177112
54600,3035321
8075,2988011
14061,2869696
26496,2829728
51468,2680904
54113,2608462
134548,2580638
7506,2512151
2635,2467290
19527,2204825
31034,2173259
29873,2001501
34788,1975119
20857,1748762
37963,1693477
132839,1657846
40676,1589683
40065,1558971
206834,1556594
139021,1357736
131965,1284751
39729,1275311
38719,1270914
31898,1248081
26347,1191530
133618,1184051
202108,1182961
198610,1162017
29169,1114252
398823,1095131
27647,1092630
20473,1055987
15348,1020455
152194,1012425
34762,1000841
19574,991276
132203,954113
32244,894592
48287,889254
48635,871085
21499,864349
34619,806691
57724,774116
139646,761206
59371,760285
48254,758993
135097,734326
51167,729384
9294,723938
398478,722216
4766,720750
46844,714131
4134,684070
29097,678600
197540,656273
206281,655605
138415,643122
42585,636932
45090,633966
45638,630073
48854,626064
8622,620300
34011,603144
140224,597860
398101,593641
55293,592546
39570,588998
12996,588521
29222,575397
134175,565075
400619,561779
51013,555859
36351,550982
24151,533377
37153,530501
139880,522635
50474,515637
46261,515624
9123,510327
137951,504905
45012,491002
15817,481409
27715,480129
9371,468907
19318,463905
133199,463622
61969,458516
8796,453689
53667,451143
142286,450778
399077,448554
135377,444427
60781,441518
15456,431225
3786,431056
140227,430507
8972,427532
32934,425738
55933,424010
12824,421629
62904,411087
136251,404546
21859,399761
16625,397646
36352,395119
30148,387909
3320,386380
20773,382892
37611,382015
31400,381220
24806,378029
8648,374343
197019,371189
210403,370763
45753,364688
30633,362213
400754,358016
51557,355106
22552,352686
401696,349856
48707,345753
134963,339503
15967,338355
32475,334222
19551,332815
32491,330588
4837,325682
20738,324075
41079,316728
46475,315671
42612,311409
3561,310827
12876,309890
22611,307110
49505,305162
50245,302743
30447,301221
26658,299593
200000,292417
29802,290624
64050,289058
21069,278762
3842,277418
54641,276260
58487,274137
42730,273844
38283,269513
20860,265981
54801,260578
273584,259680
27823,258456
23352,257803
6939,255748
18779,252378
58061,248709
52030,245674
57910,244823
395954,243681
12488,242391
42846,240473
394695,240150
197720,239942
9370,235413
394456,235366
24446,233837
33387,233809
13768,231627
58791,229879
135357,227401
7684,221826
55967,221575
29182,221329
13213,220959
17378,220254
398787,220224
979,219955
18978,217866
54994,217116
16371,215766
48324,214090
327979,213038
20847,211183
45544,206684
212531,205457
29134,202691
25820,200340
135905,199643
138995,196456
399522,195859
40021,193975
25504,190524
50340,189679
63410,189037
8315,189030
28299,186273
50599,184984
48596,184324
212216,182548
33182,182424
18447,180389
38955,178247
58461,173444
203417,171685
8342,170248
25234,165026
60087,161772
12637,160947
29522,159250
7483,156984
60068,156669
33070,156303
24961,154896
139341,152921
398993,152145
23470,151355
9318,150892
60819,150569
31477,150516
3356,149675
38186,146340
29066,145153
52148,145026
135354,144907
49604,144250
14555,143368
51115,143089
51191,142797
53589,142680
25394,142655
932,142558
47302,139170
12859,139126
43350,139066
14670,136804
202053,136111
153494,136000
15685,135286
44066,135149
204213,133372
141995,132709
34119,132187
42807,132089
32613,131013
44112,130998
7018,129920
4812,129374
205585,129275
40092,128729
3462,128275
24429,128045
55803,126957
20756,126539
200325,126114
