asn,vri_count
AS13335,4289
AS18144,24
AS4134,140
AS9583,1837
AS132215,63
AS4755,2666
AS133388,1
AS396421,1
AS141809,2
AS141810,2
AS65037,1
AS24514,36
AS65120,1
AS65077,1
AS4788,271
AS142500,2
AS148000,32
AS56120,25
AS59125,10
AS6453,562
AS45528,74
AS64050,28
AS152194,24
AS2514,110
AS3462,96
AS4760,466
AS4775,1116
AS24429,39
AS132199,911
AS38266,2246
AS45271,127
AS4804,488
AS14618,6352
AS16509,25003
AS7474,156
AS24378,223
AS18403,30
AS9444,30
AS9605,1645
AS55990,105
AS17676,376
AS1221,175
AS7224,73
AS9723,178
AS136907,4099
AS12975,266
AS19905,5212
AS9313,53
AS12479,332
AS200484,13
AS396982,4197
AS134166,30
AS198949,1270
AS141006,2
AS8075,1309
AS24157,12
AS3215,821
AS20940,5193
AS34164,207
AS16625,3267
AS12874,86
AS6762,259
AS12389,3387
AS12222,273
AS21342,189
AS8966,722
AS8697,20
AS32787,447
AS8708,137
AS9121,403
AS15897,720
AS9924,184
AS33905,53
AS7303,92
AS719,139
AS52374,5
AS3292,123
AS61580,5
AS213120,57
AS37457,2
AS1267,117
AS1299,1007
AS852,454
AS55836,3749
AS12400,661
AS200612,22
AS2856,289
AS30722,91
AS44957,3
AS5384,2736
AS15830,673
AS50630,18
AS40676,336
AS213373,15
AS208641,1
AS57344,98
AS31083,73
AS10557,88
AS18530,61
AS1239,685
AS5650,832
AS209173,3
AS35336,1
AS48095,88
AS48181,3
AS3758,688
AS199366,16
AS43260,266
AS213637,8
AS396319,20
AS209216,4
AS42929,10
AS50628,14
AS210079,106
AS216139,53
AS142113,6
AS209234,1
AS197540,173
AS30058,874
AS29066,576
AS204958,14
AS206610,18
AS48678,208
AS205463,24
AS62816,8
AS215242,29
AS216045,1
AS58061,401
AS397373,111
AS133619,7
AS209847,516
AS214238,466
AS209102,4
AS202371,7
AS209232,1
AS8767,37
AS48031,416
AS53730,16
AS49505,1037
AS395092,85
AS209231,5
AS56647,13
AS6205,89
AS207709,10
AS15401,7
AS12453,10
AS199654,9
AS204914,8
AS15490,6
AS142594,30
AS49870,17
AS7489,73
AS43309,4
AS1836,110
AS200888,1
AS213300,3
AS8315,76
AS33993,25
AS212335,89
AS216058,3
AS202448,87
AS41960,75
AS199524,634
AS202422,297
AS12859,240
AS21221,22
AS198610,222
AS216063,9
AS213250,39
AS203446,17
AS214243,6
AS26636,4
AS213407,5
AS214466,27
AS61317,709
AS262287,188
AS202704,4
AS136787,1389
AS204170,206
AS137235,35
AS40065,117
AS680,239
AS60134,4
AS44090,17
AS204861,8
AS209200,3
AS205384,10
AS209223,4
AS141158,8
AS64267,462
AS16276,510
AS30860,114
AS43641,116
AS29802,656
AS9009,2621
AS209117,4
AS35246,2
AS49181,6
AS57948,23
AS59943,27
AS210017,3
AS50782,13
AS25151,19
AS48635,94
AS211993,9
AS29405,35
AS60718,5
AS203020,1114
AS203462,23
AS47583,902
AS41798,203
AS60609,46
AS201466,10
AS3261,20
AS15943,64
AS47890,38
AS48090,4
AS24961,78
AS131090,265
AS208909,46
AS201893,6
AS31229,37
AS62240,1533
AS39568,6
AS209868,2
AS198636,12
AS205584,9
AS20647,8
AS46133,2
AS396356,467
AS41564,35
AS206092,108
AS0,2922
AS209189,1
AS205289,3
AS209198,2
AS197522,32
AS209062,1
AS62077,9
AS206264,52
AS207568,2
AS12956,34
AS209811,13
AS207291,4
AS198104,2
AS215961,1
AS57032,3
AS216013,1
AS43180,36
AS57043,281
AS42318,3
AS213279,3
AS213018,2
AS20473,1275
AS57878,355
AS397688,10
AS199959,64
AS31519,3
AS64421,3
AS24875,125
AS58073,22
AS203779,4
AS202204,15
AS13213,604
AS203061,82
AS2872,15
AS9119,106
AS200462,12
AS12676,28
AS207732,3
AS210558,22
AS35133,9
AS57706,6
AS44051,10
AS50340,431
AS212238,2790
AS207990,293
AS51167,585
AS216221,3
AS9304,2124
AS42831,290
AS61596,2
AS264409,20
AS209123,6
AS34295,144
AS210218,186
AS26383,209
AS62019,1
AS9002,60
AS3320,636
AS212341,17
AS55532,17
AS201755,9
AS39686,93
AS209185,2
AS44592,44
AS49581,64
AS34318,1
AS197537,85
AS211113,6
AS44559,1596
AS44477,124
AS15605,16
AS42013,34
AS209171,1
AS24864,7
AS199556,3
AS207843,4
AS5065,687
AS136557,57
AS3170,67
AS43949,11
AS200984,1
AS200555,19
AS209181,55
AS47504,2
AS52073,6
AS216117,2
AS152586,21
AS398395,47
AS203363,30
AS213122,115
AS213527,25
AS212570,2
